variant,search_summary,depth,score_cp,nodes,bestmove,binary
phase1_minimax,variant=phase1_minimax board=Bitboards search=Minimax,4,0,63338044,b1d2,outputs/phase1_search_assessment/bin/phase1_minimax
phase1_minimax_ab,variant=phase1_minimax_ab board=Bitboards search=Minimax+AlphaBeta,4,0,80070,b1d2,outputs/phase1_search_assessment/bin/phase1_minimax_ab
phase1_negamax,variant=phase1_negamax board=Bitboards search=Negamax,4,0,63336631,b1d2,outputs/phase1_search_assessment/bin/phase1_negamax
phase1_negamax_ab,variant=phase1_negamax_ab board=Bitboards search=Negamax+AlphaBeta,4,0,80070,b1d2,outputs/phase1_search_assessment/bin/phase1_negamax_ab
phase1_negamax_ab_pvs_id,variant=phase1_negamax_ab_pvs_id board=Bitboards search=Negamax+AlphaBeta+PVS+ID,4,0,53577,b1d2,outputs/phase1_search_assessment/bin/phase1_negamax_ab_pvs_id
