player,role,config_path,binary_path,summary,perft_d5,perft_pass,selected_feature_count,selected_features
best_variant,best,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase3_full_eval.json,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/cutechess_variant_tournament_best_worst_random_fast/variant_bins/best_variant,variant=phase3_full_eval board=Bitboards search=Negamax+AlphaBeta+PVS+ID eval=Material+PST+PassedPawn+IsolatedPawn+DoubledPawn+ConnectedPawn+PawnHash+BishopPair+RookOpen+RookSemiOpen+Mobility+KingPressure+,4865609,PASS,37,Bitboards|Negamax|Alpha-Beta|Principal Variation Search|Iterative Deepening|Quiescence Search|Move Generation|Legal Move Generation|Make Move|Unmake Move|Castling|En Passant|Threefold Repetition|Fifty-Move Rule|Move Ordering|Evaluation|Piece-Square Tables|Passed Pawn|Isolated Pawn|Doubled Pawn|Connected Pawn|Pawn Hash Table|Bishop Pair|Rook on Open File|Rook Semi-Open File|Mobility|King Pressure|King Shelter|Tapered Eval|King Activity|Static Exchange Evaluation|Transposition Table|Zobrist Hashing|Hash Move|Replacement Schemes|FEN|UCI
worst_variant,worst,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase1_minimax.json,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/cutechess_variant_tournament_best_worst_random_fast/variant_bins/worst_variant,variant=phase1_minimax board=Bitboards search=Minimax eval=Material,4865609,PASS,15,Bitboards|Make Move|Unmake Move|Move Generation|Legal Move Generation|Move Ordering|Minimax|Castling|En Passant|Fifty-Move Rule|Threefold Repetition|Evaluation|Quiescence Search|FEN|UCI
random_variant,random,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase2_10x12_ab_pvs_id.json,/Users/mathieuacher/SANDBOX/chessprogramming-vm/outputs/cutechess_variant_tournament_best_worst_random_fast/variant_bins/random_variant,variant=phase2_10x12_ab_pvs_id board=10x12 search=Negamax+AlphaBeta+PVS+ID eval=Material+PST,4865609,PASS,22,10x12 Board|Negamax|Alpha-Beta|Principal Variation Search|Iterative Deepening|Quiescence Search|Move Generation|Legal Move Generation|Make Move|Unmake Move|Castling|En Passant|Threefold Repetition|Fifty-Move Rule|Move Ordering|Evaluation|Piece-Square Tables|Transposition Table|Zobrist Hashing|Hash Move|FEN|UCI
