variant_name,config_path,source_kind,score_pct,score,games,wins,draws,losses,screen_band,board_family,search_tier,eval_tier,stratum,selected_feature_count,perft6_sec,sf1500_score,sf1500_games,sf1500_pct,sf2000_score,sf2000_games,sf2000_pct,sf2500_score,sf2500_games,sf2500_pct
stratified_variant_21,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_21.json,random_sample,0.0,0.0,12,0,0,12,zero,Bitboards,alpha_beta,structural_eval,Bitboards__alpha_beta__structural_eval,27,4.039,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_23,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_23.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,minimax,material_eval,Mailbox__minimax__material_eval,21,1.847,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_29,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_29.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,alpha_beta,structural_eval,Mailbox__alpha_beta__structural_eval,26,2.343,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_39,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_39.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,minimax,rich_eval,Mailbox__minimax__rich_eval,29,2.704,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_42,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_42.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,alpha_beta,rich_eval,Mailbox__alpha_beta__rich_eval,29,1.536,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_43,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_43.json,random_sample,0.0,0.0,12,0,0,12,zero,10x12 Board,alpha_beta,rich_eval,10x12 Board__alpha_beta__rich_eval,25,1.592,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_45,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_45.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,alpha_beta,rich_eval,0x88__alpha_beta__rich_eval,28,1.461,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_46,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_46.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,negamax,rich_eval,Mailbox__negamax__rich_eval,24,1.746,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_50,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_50.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,minimax,structural_eval,Mailbox__minimax__structural_eval,25,1.578,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_52,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_52.json,random_sample,0.0,0.0,12,0,0,12,zero,10x12 Board,negamax,rich_eval,10x12 Board__negamax__rich_eval,28,1.733,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_55,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_55.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,pruning_full,rich_eval,0x88__pruning_full__rich_eval,25,1.916,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_57,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_57.json,random_sample,0.0,0.0,12,0,0,12,zero,Bitboards,minimax,rich_eval,Bitboards__minimax__rich_eval,27,3.174,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_58,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_58.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,pruning_full,rich_eval,Mailbox__pruning_full__rich_eval,31,1.568,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_59,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_59.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,alpha_beta,rich_eval,Mailbox__alpha_beta__rich_eval,25,2.431,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_60,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_60.json,random_sample,0.0,0.0,12,0,0,12,zero,10x12 Board,alpha_beta,rich_eval,10x12 Board__alpha_beta__rich_eval,27,1.732,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_63,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_63.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,negamax,rich_eval,Mailbox__negamax__rich_eval,26,1.63,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_65,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_65.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,negamax,rich_eval,0x88__negamax__rich_eval,28,2.671,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_66,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_66.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,minimax,rich_eval,0x88__minimax__rich_eval,27,1.874,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_69,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_69.json,random_sample,0.0,0.0,12,0,0,12,zero,Bitboards,alpha_beta,rich_eval,Bitboards__alpha_beta__rich_eval,26,3.144,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_70,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_70.json,random_sample,0.0,0.0,12,0,0,12,zero,Bitboards,negamax,rich_eval,Bitboards__negamax__rich_eval,25,3.271,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_78,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_78.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,alpha_beta,rich_eval,0x88__alpha_beta__rich_eval,23,1.885,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_87,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_87.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,pruning_full,rich_eval,0x88__pruning_full__rich_eval,26,1.579,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_91,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_91.json,random_sample,0.0,0.0,12,0,0,12,zero,Mailbox,alpha_beta,rich_eval,Mailbox__alpha_beta__rich_eval,25,11.702,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_93,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_93.json,random_sample,0.0,0.0,12,0,0,12,zero,10x12 Board,minimax,rich_eval,10x12 Board__minimax__rich_eval,27,1.795,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_97,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_97.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,negamax,rich_eval,0x88__negamax__rich_eval,29,1.744,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_98,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_98.json,random_sample,0.0,0.0,12,0,0,12,zero,0x88,minimax,rich_eval,0x88__minimax__rich_eval,29,2.808,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
