variant,selected_feature_count,selected_features,perft_d1,perft_d2,perft_d3,perft_d4,perft_d5,perft_d6,pass,derive_build_sec,perft_sec,total_sec,config_path
random_variant_01,19,Bitboards|En Passant|Evaluation|FEN|Fifty-Move Rule|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Pawn Structure|Pondering|Quiescence Search|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,,,PASS,0.286,0.258,0.544,outputs/random_variant_configs_no_castling_enginecore/random_variant_01.json
random_variant_02,21,Bitboards|En Passant|FEN|Fifty-Move Rule|Iterative Deepening|Killer Heuristic|Legal Move Generation|Magic Bitboards|Make Move|Mobility|Move Generation|Negamax|Pawn Structure|Piece Lists|Pseudo-Legal Move Generation|Replacement Schemes|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,,,PASS,0.271,0.156,0.428,outputs/random_variant_configs_no_castling_enginecore/random_variant_02.json
random_variant_03,17,0x88|Copy-Make|Delta Pruning|En Passant|Fifty-Move Rule|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Pawn Structure|Quiescence Search|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move,20,400,8902,197281,,,PASS,0.276,0.151,0.427,outputs/random_variant_configs_no_castling_enginecore/random_variant_03.json
random_variant_04,25,0x88|Copy-Make|En Passant|FEN|Fifty-Move Rule|History Heuristic|Killer Heuristic|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Opening Book|Pawn Hash Table|Pawn Structure|Pondering|Razoring|Replacement Schemes|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,,,PASS,0.282,0.169,0.45,outputs/random_variant_configs_no_castling_enginecore/random_variant_04.json
random_variant_05,20,10x12 Board|Copy-Make|En Passant|FEN|Fifty-Move Rule|Iterative Deepening|Killer Heuristic|King Safety|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Pondering|Replacement Schemes|Static Exchange Evaluation|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,,,PASS,0.262,0.156,0.417,outputs/random_variant_configs_no_castling_enginecore/random_variant_05.json
