variant,selected_feature_count,selected_features,perft_d1,perft_d2,perft_d3,perft_d4,pass,derive_build_sec,perft_sec,total_sec,config_path
random_variant_01,25,Alpha-Beta|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Futility Pruning|King Safety|Late Move Reductions|Legal Move Generation|Mailbox|Make Move|Mobility|Move Generation|Pawn Hash Table|Pawn Structure|Quiescence Search|Replacement Schemes|Tapered Eval|Threefold Repetition|Time Management|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,PASS,0.289,0.222,0.511,outputs/random_variant_configs_after_constraint/random_variant_01.json
random_variant_02,22,Castling|En Passant|FEN|Fifty-Move Rule|Hash Move|Killer Heuristic|Legal Move Generation|Mailbox|Make Move|Move Generation|Move Ordering|Opening Book|Pawn Hash Table|Pawn Structure|Piece Lists|Piece-Square Tables|Pondering|Razoring|Threefold Repetition|Transposition Table|UCI|Zobrist Hashing,20,400,8902,197281,PASS,0.285,0.163,0.448,outputs/random_variant_configs_after_constraint/random_variant_02.json
random_variant_03,26,Alpha-Beta|Castling|En Passant|FEN|Fifty-Move Rule|Futility Pruning|Iterative Deepening|Killer Heuristic|Legal Move Generation|Mailbox|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Pawn Structure|Piece Lists|Piece-Square Tables|Pseudo-Legal Move Generation|Quiescence Search|Razoring|Tapered Eval|Threefold Repetition|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,PASS,0.278,0.171,0.449,outputs/random_variant_configs_after_constraint/random_variant_03.json
random_variant_04,22,Alpha-Beta|Bitboards|Castling|En Passant|Evaluation|Fifty-Move Rule|King Safety|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Move Ordering|Opening Book|Pawn Structure|Principal Variation Search|Pseudo-Legal Move Generation|Quiescence Search|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move,0,0,0,0,FAIL,0.296,0.133,0.429,outputs/random_variant_configs_after_constraint/random_variant_04.json
random_variant_05,30,0x88|Alpha-Beta|Aspiration Windows|Castling|Copy-Make|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|Killer Heuristic|Late Move Reductions|Legal Move Generation|Make Move|Move Generation|Negamax|Pawn Hash Table|Pawn Structure|Piece-Square Tables|Quiescence Search|Replacement Schemes|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Time Management|Transposition Table|UCI|Unmake Move|Zobrist Hashing,20,400,8902,197281,PASS,0.291,0.16,0.451,outputs/random_variant_configs_after_constraint/random_variant_05.json
