game,opening_index,white,black,result,termination,variant_score,variant_color,illegal,elapsed_sec,variant_avg_depth,variant_max_depth,stockfish_avg_depth,stockfish_max_depth,ply_count
1,1,phase3_full_eval,stockfish_2500,1/2-1/2,threefold_repetition,0.5,white,False,59.489,5.0,5,18.52,21,59
2,1,stockfish_2500,phase3_full_eval,1-0,checkmate,0.0,black,False,75.428,4.91,5,48.21,245,75
3,2,phase3_full_eval,stockfish_2500,0-1,checkmate,0.0,white,False,118.66,5.0,5,45.81,245,124
4,2,stockfish_2500,phase3_full_eval,0-1,checkmate,1.0,black,False,99.065,4.92,5,38.08,245,84
