anchor_name,anchor_elo,score,games,score_pct,score_frac,score_ci95_lo,score_ci95_hi
sf2100,2100.0,12.0,24,50.0,0.5,0.29995833767270713,0.7000416623272929
sf2150,2150.0,12.0,24,50.0,0.5,0.29995833767270713,0.7000416623272929
sf2200,2200.0,9.0,24,37.5,0.375,0.18131049331468677,0.5686895066853133
sf2250,2250.0,4.5,24,18.8,0.1875,0.03134252739622098,0.343657472603779
sf2300,2300.0,10.5,24,43.8,0.4375,0.23902731611125927,0.6359726838887407
sf2350,2350.0,12.0,24,50.0,0.5,0.29995833767270713,0.7000416623272929
sf2400,2400.0,3.5,24,14.6,0.14583333333333334,0.004628305258184057,0.2870383614084826
sf2450,2450.0,6.5,24,27.1,0.2708333333333333,0.0930402296102657,0.44862643705640093
sf2500,2500.0,5.0,24,20.8,0.20833333333333334,0.04585292140851313,0.3708137452581536
