variant_name,source_kind,role,config_path,selected_feature_count,selected_features,board_family,search_tier,eval_tier,feature_count_bin,stratum,perft_sec,_perft_band,screen_pass,shortlist_reason
phase1_minimax,control,worst_preset,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase1_minimax.json,15,Bitboards|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Legal Move Generation|Make Move|Minimax|Move Generation|Move Ordering|Quiescence Search|Threefold Repetition|UCI|Unmake Move,Bitboards,minimax,material_eval,low,Bitboards__minimax__material_eval,0.118,,PASS,fixed_control
phase2_10x12_ab_pvs_id,control,reference_random,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase2_10x12_ab_pvs_id.json,22,10x12 Board|Alpha-Beta|Castling|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Iterative Deepening|Legal Move Generation|Make Move|Move Generation|Move Ordering|Negamax|Piece-Square Tables|Principal Variation Search|Quiescence Search|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,10x12 Board,pvs_id,pst_eval,medium,10x12 Board__pvs_id__pst_eval,0.122,,PASS,fixed_control
phase3_full_eval,control,best_preset,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase3_full_eval.json,37,Alpha-Beta|Bishop Pair|Bitboards|Castling|Connected Pawn|Doubled Pawn|En Passant|Evaluation|FEN|Fifty-Move Rule|Hash Move|Isolated Pawn|Iterative Deepening|King Activity|King Pressure|King Shelter|Legal Move Generation|Make Move|Mobility|Move Generation|Move Ordering|Negamax|Passed Pawn|Pawn Hash Table|Piece-Square Tables|Principal Variation Search|Quiescence Search|Replacement Schemes|Rook on Open File|Rook Semi-Open File|Static Exchange Evaluation|Tapered Eval|Threefold Repetition|Transposition Table|UCI|Unmake Move|Zobrist Hashing,Bitboards,pvs_id,rich_eval,high,Bitboards__pvs_id__rich_eval,0.121,,PASS,fixed_control
